datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,sub_metering_4
2007/1/8,2241.36,207.568,344990.81,9434.4,0,467,17547,19342
2007/1/9,1869.054,207.248,346302.03,7950.4,1688,4267,9790,15405.89996
2007/1/10,2154.8,228.452,347079.53,9155.2,771,4456,11012,19674.33332
2007/1/11,2255.194,230.02,347264.19,9588,1378,2170,12415,21623.56667
2007/1/12,1461.296,199.14,347815.02,6205.2,0,439,8276,15639.93333
2007/1/13,3186.814,290.736,344568.4,13612.4,7806,2975,11341,30991.56666
2007/1/14,3009.442,227.278,343904.48,12912.2,1777,4215,12975,31190.36672
2007/1/15,2148.678,174.86,347386.91,9016.6,1099,2239,15163,17310.29999
2007/1/16,1686.404,185.428,348400.45,7165.4,2063,644,6583,18816.73333
2007/1/17,2847.688,200.752,347047.56,11928.8,3500,5737,16064,22160.46666
2007/1/18,1821.462,177.712,346886.78,7693.2,0,336,13491,16530.69999
2007/1/19,1480.44,170.052,345831.76,6301.8,2103,330,7172,15068.99996
2007/1/20,3133.732,238.362,343969.16,13461.2,4324,5222,11440,31242.86673
2007/1/21,3407.262,229.736,344114.09,14674.6,10346,5567,11599,29275.70002
2007/1/22,2180.494,168.642,347908.51,9151.6,1054,2983,11361,20943.5667
2007/1/23,1777.64,138.28,349578.08,7575.6,0,1064,5061,23502.33332
2007/1/24,2987.854,178.06,347699.08,12576.4,3464,2480,11744,32109.5666
2007/1/25,1596.344,144.16,350531.08,6666.2,1158,262,11239,13946.73336
2007/1/26,1617.972,142.902,349591.38,6798.8,1163,261,8238,17304.20004
2007/1/27,2044.072,148.242,347927.86,8567.8,1170,3896,12374,16627.86665
2007/1/28,3091.588,153.426,346039.26,13149,3466,3998,12063,31999.46668
2007/1/29,1982.664,165.696,346938.62,8336,1123,294,15254,16373.39998
2007/1/30,1707.798,180.934,348250.86,7240.6,1123,1424,8149,17767.30001
2007/1/31,2363.752,185.988,345486.43,9970,0,5950,15052,18393.86675
2007/2/1,1824.76,150.264,346164.68,7678.8,1170,386,13145,15711.6667
2007/2/2,1667.736,139.542,346081.52,7014,0,356,11338,16101.60002
2007/2/3,4029.722,245.824,344030.68,17015,4746,4573,17834,40009.03328
2007/2/4,3595.94,186.494,345072,15214.2,3391,4597,14472,37472.33334
2007/2/5,1645.28,147.228,346766.85,6941.4,896,2564,7849,16112.33333
2007/2/6,1273.48,142.566,347420.39,5431.6,1185,405,4517,15117.66666
2007/2/7,2328.018,177.708,347255.56,9780,3299,3513,11986,20002.30003
2007/2/8,1801.414,138.896,348188.12,7557.6,2226,366,10157,17274.56664
2007/2/9,1620.198,158.066,348106.24,6807.2,0,3045,9770,14188.29999
2007/2/10,2829.328,192.974,345653.03,11957.4,5071,2831,14405,24848.46669
2007/2/11,3571.228,204.314,344888.85,15158.6,2430,4765,13114,39211.46667
2007/2/12,1877.61,136.704,345741.84,7925,2227,399,11517,17150.49998
2007/2/13,1414.546,134.678,347280.27,5967,0,2828,6256,14491.76668
2007/2/14,2498.672,202.506,346140.56,10533.8,3295,3793,11579,22977.53333
2007/2/15,1985.346,165.964,346563.68,8381.2,0,2363,14028,16698.10003
2007/2/16,1702.528,151.686,346782.16,7267,1148,859,8689,17679.46672
2007/2/17,2076.912,238.968,344615.09,8826,1765,2226,7157,23467.19999
2007/2/18,3829.762,255.522,344405.96,16184,6107,8003,13129,36590.36668
2007/2/19,2186.614,176.584,345297,9276.8,1634,2900,13085,18824.56671
2007/2/20,3149.928,187.158,345406.24,13202.6,2058,5191,9713,35536.80003
2007/2/21,2072.874,189.87,346263.79,8747.2,3527,2332,11548,17140.89999
2007/2/22,3374.356,138.46,343628.62,14214.2,1411,4132,12287,38409.26662
2007/2/23,1313.48,149.344,346587.79,5508.6,0,503,10786,10602.33334
2007/2/24,714.922,122.202,345402.87,3003.6,0,363,3562,7990.366702
2007/2/25,501.74,113.736,348021.43,2105.6,0,329,1660,6373.333365
2007/2/26,568.484,108.28,347433.97,2388.8,0,331,2830,6313.733347
2007/2/27,518.112,113.204,349839.75,2195.4,0,314,1924,6397.200013
2007/2/28,520.774,113.372,348709.81,2201,0,340,1973,6366.566683
2007/3/1,517.564,107.628,347502.82,2172.8,0,316,1980,6330.066683
2007/3/2,515.688,107.008,346451.9,2169.8,0,340,1969,6285.800002
2007/3/3,819.122,134.992,347454.84,3457.6,0,347,4597,8708.033338
2007/3/4,2090.7,175.682,345642.91,8867.8,1476,8711,9408,15250
2007/3/5,2660.332,205.956,345644.51,11290,5727,12109,10026,16476.86665
2007/3/6,1246.5,186.148,347022.82,5321.8,0,1740,4700,14335.00001
2007/3/7,2375.206,171.2,346065.93,9986.4,1076,4761,15513,18236.76669
2007/3/8,1572.132,187.404,346558.21,6717.8,2180,3385,6655,13982.20001
2007/3/9,1272.612,119.238,346879.39,5373,1093,345,8631,11141.2
2007/3/10,2484.712,243.528,345316.08,10572.4,4130,5422,10979,20880.86666
2007/3/11,3480.636,173.374,345610.5,14575,4810,3420,9500,40280.60004
2007/3/12,1950.668,134.422,346404.55,8249,1403,2841,12353,15914.13337
2007/3/13,1290.144,126.718,346893.07,5480.2,1350,3859,5323,10970.40002
2007/3/14,1793.364,157.522,346719.3,7585.2,3485,480,8607,17317.4
2007/3/15,1884.814,159.326,346003.91,7953.4,0,3263,11036,17114.56665
2007/3/16,1702.054,130.208,344919.07,7189,1106,4604,5370,17287.56669
2007/3/17,2028.09,127.068,343043.5,8562.4,2208,359,12275,18959.50006
2007/3/18,2371.046,241.45,347108.86,10091.4,6564,7369,5856,19728.43333
2007/3/19,2152.518,144.764,346315.81,9046,1648,2686,14118,17423.3
2007/3/20,2086.228,164.87,346774.52,8857.8,3745,2837,11255,16933.46672
2007/3/21,2142.092,142.83,347020.77,8981.6,1865,4133,12335,17368.53332
2007/3/22,1454.978,113.826,348139.48,6081.2,353,736,10462,12698.63335
2007/3/23,1309.008,119.488,347969.49,5477.4,1127,777,8369,11543.79998
2007/3/24,2968.43,191.024,345174.44,12532.8,3707,5797,16382,23587.8333
2007/3/25,3338.404,236.124,345644.24,14000,4630,3600,9375,38035.06666
2007/3/26,1416.082,160.966,347525.01,6023.6,1088,344,9096,13073.36666
2007/3/27,1105.14,151.726,346466.85,4747,0,3019,3697,11703.00003
2007/3/28,2333.898,196.518,346240.24,9870.6,1122,8527,13888,15361.30007
2007/3/29,1590.406,198.696,346372.83,6734.6,1162,460,10724,14160.76666
2007/3/30,1402.394,181.128,347096.49,6033,1094,468,8217,13594.23326
2007/3/31,3509.51,231.504,344535.51,14781.2,2620,7707,17682,30482.83334
2007/4/1,2785.952,202.552,345635.26,11735.2,4629,5401,19509,16893.53333
2007/4/2,1960.778,174.336,346262.57,8226.2,1755,970,16641,13313.63336
2007/4/3,1642.82,168.76,346327.14,6978.6,3630,1042,7637,15071.33335
2007/4/4,2051.868,172.318,346077.77,8620.2,3434,420,14748,15595.79998
2007/4/5,1844.078,244.538,347289.27,7907.8,1086,4277,10523,14848.63334
2007/4/6,1601.14,143.214,347305.61,6751.6,0,5466,9166,12053.66669
2007/4/7,1553.924,138.73,346145.17,6573,1127,3111,5923,15737.73335
2007/4/8,1608.816,135.882,346102.82,6796.6,0,485,3545,22783.60002
2007/4/9,1000.92,160.11,346392.7,4283.4,2667,514,3801,9700.000027
2007/4/10,777.364,148.94,346771.73,3380.2,209,742,2572,9433.066687
2007/4/11,887.482,192.446,347262.95,3771,0,1112,6421,7258.366658
2007/4/12,537.706,147.812,345968.73,2301,0,541,1818,6602.766688
2007/4/13,551.022,151.64,345672.7,2366.4,0,558,1988,6637.700028
2007/4/14,554.268,155.61,346050.93,2378,0,578,2008,6651.800027
2007/4/15,726.164,171.544,345940.83,3148.6,0,1026,2893,8183.733364
2007/4/16,952.39,186.074,346546.28,4136.4,952,1305,4656,8960.166651
2007/4/17,1223.734,218.354,345881.76,5314.8,1532,389,6199,12275.56664
2007/4/18,998.246,165.224,345811.36,4313.4,1579,355,3430,11273.43333
2007/4/19,1028.658,149.66,346218.97,4400.4,733,1605,5748,9058.299999
2007/4/20,822.58,145.646,345791.37,3592.6,1069,360,3499,8781.666681
2007/4/21,1673.656,212.658,344467.06,7251.4,6575,463,11129,9727.266656
2007/4/22,2233.714,267.194,345036.79,9631.4,4264,2287,11102,19575.56676
2007/4/23,1054.566,135.64,341619.33,4700.4,1402,506,6005,9663.100003
2007/4/24,1032.1,135.264,338896.69,4528.6,1125,527,6680,8869.666699
2007/4/25,1264.162,164.736,338315.2,5555.6,0,1469,8812,10788.36667
2007/4/26,1275.466,163.606,338093.71,5650.2,1324,1845,7163,10925.76667
2007/4/27,1094.332,161.928,338711.28,4770,1772,545,4756,11165.86667
2007/4/28,1113.694,163.744,338660.24,4850.4,1772,563,4756,11470.56667
2007/4/29,1113.694,163.744,338660.24,4850.4,1772,563,4756,11470.56667
2007/4/30,814.78,160.96,338452.48,3613.4,1214,853,3299,8213.666668
2007/5/1,1663.858,181.608,337937.33,7305.6,4005,995,8546,14184.96668
2007/5/2,1003.486,160.092,339238.19,4523.8,7,1490,3754,11473.76665
2007/5/3,1090.238,150.942,338594.24,4763,1906,1725,7836,6703.633358
2007/5/4,998.128,174.74,339422.68,4432.4,2259,538,3990,9848.466654
2007/5/5,1563.052,174.102,338450.43,6820,2913,2493,11303,9341.866659
2007/5/6,2102.104,182.336,337549.9,9229,3215,949,10095,20776.06666
2007/5/7,1643.664,168.918,337733.24,7172.6,946,4935,9433,12080.40002
2007/5/8,1789.292,181.612,338264.98,7713.2,4581,2011,8777,14452.53338
2007/5/9,1665.736,183.484,338218.16,7280.8,3018,5631,9474,9639.266654
2007/5/10,707.884,168.314,339546.61,3177.8,946,534,3261,7057.066688
2007/5/11,979.154,132.096,338730.85,4359.8,926,491,6471,8431.233335
2007/5/12,1441.566,209.172,338000.98,6279.2,2247,1075,10408,10296.09997
2007/5/13,1634.738,220.67,339420.54,7155.6,3612,2414,8958,12261.63332
2007/5/14,1467.782,298.552,339393.7,6586.8,3176,2417,5517,13353.03335
2007/5/15,904.392,111.182,339281.27,3936,0,408,5318,9347.199992
2007/5/16,1692.944,135.894,338775.57,7303.4,2213,5756,9077,11169.7333
2007/5/17,1231.816,131.188,339650.58,5358.2,1014,2073,7687,9756.266692
2007/5/18,1631.53,171.258,339832.22,7022.4,3270,3913,8116,11893.16667
2007/5/19,1429.442,167.858,338320.4,6219.8,4683,530,7022,11589.03335
2007/5/20,1968.328,187.532,338901.29,8555.8,5420,1733,7611,18041.4667
2007/5/21,1120.062,117.28,337956.35,4807.6,0,468,9060,9139.700029
2007/5/22,1132.852,128.916,339092.03,4895.8,931,3966,3984,9999.866651
2007/5/23,1464.936,165.878,338129.99,6332.4,956,3792,8119,11548.6
2007/5/24,1154.388,135.56,339186.33,4985.4,955,4116,4746,9422.800067
2007/5/25,1614.22,174.588,337603.97,7003.4,8060,586,6539,11718.66663
2007/5/26,1512.248,174.24,338500.64,6570.4,2373,2754,8628,11449.13334
2007/5/27,2153.808,219.894,338268.15,9369.4,4366,5534,10444,15552.80004
2007/5/28,1637.468,151.1,338265.47,7087.6,4554,473,9586,12678.13332
2007/5/29,1061.34,113.244,339399.86,4618.4,0,1907,4332,11450.00001
2007/5/30,1609.866,147.058,338157.21,6953,2250,5948,7804,10829.10002
2007/5/31,938.55,129.586,338539,4020.2,935,477,3552,10678.49997
2007/6/1,1046.09,143.516,338862.12,4517.4,0,485,7664,9285.833354
2007/6/2,1484.362,166.108,337635.4,6442.6,3971,1250,7633,11885.36665
2007/6/3,2108.026,182.458,338057.82,9148.2,4985,7529,8334,14285.76659
2007/6/4,911.618,223.192,338037.22,4064,1585,836,4533,8239.633324
2007/6/5,1458.892,255.692,337957.58,6429.8,4484,1027,6448,12355.8667
2007/6/6,1693.942,231.132,337857.74,7352.8,3329,829,11663,12411.36666
2007/6/7,985.002,172.334,337649.48,4294.6,985,699,3959,10773.7
2007/6/8,2148.046,229.732,340124.32,9285.4,2799,11440,11380,10181.76669
2007/6/9,1137.136,232.936,346542.8,4891.6,990,825,7254,9883.266715
2007/6/10,1340.812,239.092,346815.77,5768.2,4202,1924,5983,10237.86667
2007/6/11,794.654,194.634,346833.72,3481.8,0,487,5328,7429.23334
2007/6/12,918.766,216.416,345923.85,4116.4,1882,475,3898,9057.766683
2007/6/13,927.272,208.26,346172.55,4057.2,957,857,5216,8424.53332
2007/6/14,1259.084,231.696,345380.81,5448,3322,2147,7054,8461.733337
2007/6/15,989.604,251.762,346268.71,4415.4,2269,4011,4547,5666.399994
2007/6/16,2017.762,307.558,344882.44,8604,3289,4498,11108,14734.36666
2007/6/17,1947.09,239.814,345915.62,8307.8,4124,5038,8734,14555.5
2007/6/18,678.474,180.81,346717.73,2993.4,0,529,4241,6537.900002
2007/6/19,842.556,187.986,345985.65,3683.2,973,535,4357,8177.600008
2007/6/20,1074.286,227.302,345824.88,4761.8,1761,2588,5106,8449.766653
2007/6/21,806.946,222.546,346427.92,3601.2,932,2400,3711,6406.100018
2007/6/22,566.294,208.526,346803.31,2602.6,0,951,3482,5005.233369
2007/6/23,477.566,193.12,346059.31,2211.4,0,786,2402,4771.433349
2007/6/24,714.656,179.362,347230.39,3179,0,791,3449,7670.933307
2007/6/25,1072.202,197.27,346208.06,4680,1985,3621,4816,7448.033319
2007/6/26,944.908,182.42,345736.09,4143,971,1334,5231,8212.466672
2007/6/27,1480.826,206.998,345252.11,6378,2603,6451,7270,8356.433319
2007/6/28,1295.438,217.446,344770.08,5601,0,4368,9541,7681.633353
2007/6/29,1305.634,206.526,345860.84,5679.4,4363,668,6815,9914.566626
2007/6/30,1335.314,188.354,345616.72,5719,3049,792,8376,10038.23336
2007/7/1,1026.664,172.448,345696.7,4436.2,969,736,4690,10716.06667
2007/7/2,967.032,176.924,346567.41,4216,1018,5281,3445,6373.199998
2007/7/3,1059.912,180.338,345869.19,4652.2,467,3214,4695,9289.199971
2007/7/4,1003.41,253.334,346549.87,4457.4,2329,2218,5632,6544.499997
2007/7/5,1057.29,246.716,346240,4655.8,2922,770,3973,9956.500001
2007/7/6,1069.524,219.35,346463.21,4706.8,2826,3563,4005,7431.400001
2007/7/7,1358.206,214.044,345470.6,5810.2,997,3047,10177,8415.766677
2007/7/8,1089.08,196.92,346088.01,4736.6,1825,2831,5277,8218.333319
2007/7/9,1180.158,172.422,346489.41,5063.4,923,594,9386,8766.30002
2007/7/10,908.324,176.244,345575.6,4012,67,2227,4631,8213.733313
2007/7/11,722.352,153.856,347083.25,3167.2,1015,647,5284,5093.200004
2007/7/12,1069.582,209.098,346701.05,4656.4,1029,2550,6419,7828.366674
2007/7/13,794.382,206.694,346830.92,3529.2,0,633,4427,8179.699982
2007/7/14,1288.17,258.45,347460.31,5607.4,3775,1968,6604,9122.499988
2007/7/15,1041.71,258.098,346398.74,4596.6,973,934,5791,9663.833307
2007/7/16,853.674,233.96,340570.42,3831.2,830,695,4176,8526.900018
2007/7/17,719.632,176.088,338027.41,3277.8,848,694,3335,7116.866685
2007/7/18,757.082,156.514,332767.05,3437,909,671,4628,6410.03332
2007/7/19,677.886,187.012,337337.08,3087.2,1068,703,3130,6397.1
2007/7/20,1110.422,223.118,339219.22,4970.4,2111,2418,4765,9213.03335
2007/7/21,1060.248,236.158,337329.54,4739.8,428,512,7756,8974.800024
2007/7/22,1377.692,218.336,339785.02,6090.2,7091,2136,5580,8154.533359
2007/7/23,991.018,143.77,337681.25,4429.4,1747,1288,3847,9634.966652
2007/7/24,825.284,112.81,338922.78,3673.4,0,1607,5599,6548.733341
2007/7/25,472.56,108.234,339323.11,2130.2,0,151,2333,5392.000014
2007/7/26,924.5,115.092,338318.96,4087,975,3633,4346,6454.333331
2007/7/27,1202.514,120.456,339197.3,5217.6,1837,49,7157,10998.90001
2007/7/28,1621.862,178.73,339130.42,7116,907,10265,6559,9300.033372
2007/7/29,321.116,118.576,339425.33,1488.2,0,0,1288,4063.93332
2007/7/30,466.816,129.492,339163.53,2112.8,0,0,2528,5252.266675
2007/7/31,812.332,145.786,338277.33,3603.6,3277,0,3575,6686.866673
2007/8/1,1064.464,144.958,338375.4,4636.8,1583,0,9812,6346.066647
2007/8/2,1019.416,144.954,338193.49,4445.4,482,0,6869,9639.26665
2007/8/3,1063.364,125.388,337659.27,4618.4,958,0,9139,7625.733312
2007/8/4,1144.99,139.226,338770.4,4971.4,552,398,7966,10167.16669
2007/8/5,787.098,151.254,338565.99,3509,169,0,6647,6302.299994
2007/8/6,1089.72,154.434,337971.95,4776.6,1096,0,7985,9080.999985
2007/8/7,1483.58,131.182,337757.59,6373.4,437,2168,9042,13079.33332
2007/8/8,1125.482,119.096,337697.82,4868,1055,1111,9660,6932.033337
2007/8/9,1071.68,109.474,337268.72,4712.2,182,4515,6646,6518.333311
2007/8/10,1028.01,117.656,337663.89,4506.8,336,2651,8287,5859.49999
2007/8/11,1091.65,115.77,338371.46,4731.4,1180,910,10339,5765.16664
2007/8/12,1241.904,127.776,339357.39,5389.6,1123,1156,8582,9837.400007
2007/8/13,1153.012,130.94,338711.86,4966.2,93,476,11101,7546.866693
2007/8/14,941.19,132.01,341390,4110,951,685,6256,7794.500013
2007/8/15,1191.86,159.764,345590.51,5100.6,338,508,9787,9231.333335
2007/8/16,958.496,131.532,345222.23,4095.2,962,0,7476,7536.93333
2007/8/17,1009.892,127.388,346311.43,4293.4,244,0,7769,8818.533296
2007/8/18,347.96,119.24,347442.67,1553.6,0,0,1830,3969.333315
2007/8/19,1422.294,160.018,345533.28,6137.2,1025,8912,5989,7778.899975
2007/8/20,1338.842,155.88,347473,5707.2,1032,6965,7383,6934.033355
2007/8/21,642.556,157.308,346425.2,2824,0,38,3296,7375.266669
2007/8/22,1209.808,154.288,346776.94,5142.6,3048,1836,7241,8038.466645
2007/8/23,1112.312,157.954,346532.12,4795.6,2502,259,5342,10435.53333
2007/8/24,1656.422,262.692,346313.34,7107.6,1891,3782,9944,11990.03333
2007/8/25,1150.88,272.548,345398.15,5117.4,4149,2191,5678,7163.333332
2007/8/26,1314.906,299.388,345529.32,5778.2,1541,3645,5658,11071.1
2007/8/27,1211.73,299.084,345489.96,5315.4,2305,1229,6344,10317.49999
2007/8/28,997.004,181.114,344951.82,4314.4,1038,2468,5483,7627.733346
2007/8/29,747.992,175.426,346672.79,3282.6,957,562,4932,6015.533314
2007/8/30,1202.458,191.048,346425.37,5190.2,3822,2580,4221,9417.966684
2007/8/31,1279.822,187.256,345579.41,5455.4,1200,666,8738,10726.36668
2007/9/1,1701.486,289.846,344672.27,7294.2,2497,569,9733,15559.10002
2007/9/2,1662.468,231.598,345665.28,7224.8,3613,1617,8806,13671.79998
2007/9/3,1038.922,188.422,345053.3,4508.2,621,2515,5323,8856.366684
2007/9/4,1584.944,179.626,345109.92,6848.6,2928,3501,9821,10165.73331
2007/9/5,1236.572,148.864,344373.35,5324.6,0,4144,6705,9760.533325
2007/9/6,901.474,172.026,344649.67,3963.2,0,3888,3461,7675.566669
2007/9/7,1336.496,181.738,344205.65,5770.4,3632,551,9388,8703.933312
2007/9/8,1469.752,186.33,345211.84,6324.4,3339,1801,9164,10191.86668
2007/9/9,1679.502,209.152,344047.89,7277.8,2184,4438,9233,12136.70001
2007/9/10,1117.376,177.498,344719.67,4843.8,935,595,5613,11479.93333
2007/9/11,983.572,151.764,345703.67,4251,943,550,5792,9107.866694
2007/9/12,1287.764,171.794,345621.68,5558.4,0,3217,7755,10490.73333
2007/9/13,1146.382,165.958,344606.16,4988.8,1175,2523,3853,11555.36671
2007/9/14,1135.47,183.126,344594.73,4960.4,901,676,5804,11543.49998
2007/9/15,1095.312,184.466,345602.84,4720.6,0,1449,6464,10342.20002
2007/9/16,1652.224,192.352,344967.07,7151.4,3118,3064,9310,12045.06672
2007/9/17,1461.186,202.314,344469.31,6355.4,6651,926,6279,10497.10001
2007/9/18,1167.52,147.132,343095.37,5058.4,1888,2029,5425,10116.66669
2007/9/19,1298.684,151.794,346039.5,5592,0,2743,7937,10964.73334
2007/9/20,1255.532,132.908,345189.58,5358.2,1056,489,9996,9384.533357
2007/9/21,1238.78,152.834,344709.31,5375,3130,2745,6316,8455.333365
2007/9/22,1176.172,183.432,344855.57,5061.8,944,1311,7688,9659.866698
2007/9/23,1417.97,242.974,344880.62,6163.2,2831,1929,7382,11490.83335
2007/9/24,1354.53,197.624,343584.87,5873.4,929,3935,7955,9756.500053
2007/9/25,1764.342,130.078,342863.44,7497.2,916,2253,9820,16416.69998
2007/9/26,1832.47,169.322,344763.72,7775.4,1133,9415,5695,14298.16665
2007/9/27,1392.6,150.71,344976.56,5872,1066,643,7324,14177
2007/9/28,1680.498,222.718,344825.9,7191.6,996,3722,9952,13338.29999
2007/9/29,2296.522,182.122,344361.76,9782.2,4085,7457,8190,18543.36665
2007/9/30,1516.29,163.588,345693.29,6411.6,1405,582,10225,13059.5
2007/10/1,1720.922,146.734,344505.48,7306.2,1507,6622,5960,14593.03331
2007/10/2,2198.864,161.828,343431.06,9322.6,508,8022,12815,15302.73328
2007/10/3,1280.454,157.738,344535.94,5472,979,5024,3692,11645.89999
2007/10/4,1518.458,138.448,344455.31,6414.6,2400,444,9710,12753.6334
2007/10/5,1394.092,150.636,343911.04,5889.2,0,351,9425,13458.86663
2007/10/6,1756.24,186.192,343268.23,7441.4,4840,347,9666,14417.66669
2007/10/7,2106.114,153.178,343909.84,8939.4,2498,8255,10886,13462.89997
2007/10/8,1095.242,121.896,344299.03,4652.8,0,420,5082,12752.03334
2007/10/9,1687.858,159.802,343985.97,7174.6,2034,2147,9290,14659.96669
2007/10/10,1166.972,132.752,344766.47,5023.6,1863,2117,3345,12124.53336
2007/10/11,1732.446,153.108,343359.58,7357,2630,414,7806,18024.10002
2007/10/12,1914.504,137.984,343413.09,8160.6,1020,5028,11659,14201.39993
2007/10/13,1926.728,125.204,343822.19,8209,969,3799,8463,18881.13337
2007/10/14,2061.252,150.05,344305.49,8753.4,2930,7494,7126,16804.20001
2007/10/15,1266.33,118.182,344581.5,5359.6,1061,339,7654,12051.5
2007/10/16,1964.442,185.414,343962.17,8385.4,0,7871,9876,14993.7
2007/10/17,1576.93,136.4,344436.67,6677.2,1065,453,8968,15796.16668
2007/10/18,1518.53,122.5,345312.41,6384.6,1162,317,9864,13965.8333
2007/10/19,2085.648,121.478,345099.13,8788.6,1299,3124,11648,18689.80001
2007/10/20,1660.246,139.544,348227.74,6933.2,2363,296,13225,11786.76672
2007/10/21,1941.94,154.028,347746.67,8210.4,3712,4357,7313,16983.66665
2007/10/22,1652.896,116.41,346385.38,6920.4,0,299,13027,14222.2667
2007/10/23,1956.698,127.928,347371.59,8222.8,1067,5186,10680,15678.63332
2007/10/24,1865.636,146.782,346763.91,7881.4,4459,364,9115,17155.93332
2007/10/25,1853.918,132.2,346280.59,7795.6,1478,2433,7385,19602.63332
2007/10/26,1437.568,109.676,346580.43,6286.8,0,348,5766,17845.46668
2007/10/27,1785.688,109.186,345889.74,7645.2,1374,4856,8949,14582.46669
2007/10/28,512.158,92.298,346847.12,2138.8,0,283,1765,6487.966652
2007/10/29,545.428,86.998,347318.36,2267.2,0,269,2749,6072.466664
2007/10/30,811.008,89.84,346501.33,3386,0,1935,4256,7325.799992
2007/10/31,1283.21,107.2,346088.13,5389,0,4700,8915,7771.833351
2007/11/1,496.216,85.046,346951.3,2067.8,0,293,1991,5986.266654
2007/11/2,1443.602,93.362,344662.54,6051.8,1346,2115,12245,8354.033301
2007/11/3,492.55,88.124,345874.33,2065.4,0,282,1936,5991.166651
2007/11/4,1485.686,138.802,345895.95,6313,0,4387,7068,13306.43333
2007/11/5,1500.592,131.35,345109.12,6330.6,1265,397,6583,16764.86667
2007/11/6,2082.378,200.526,343730.82,8855.8,1105,5515,10690,17396.30004
2007/11/7,1844.758,193.52,344973.47,7892.8,5042,301,6374,19028.96667
2007/11/8,1501.06,134.698,346683.81,6386.4,1715,314,6500,16488.66665
2007/11/9,2171.226,113.242,343750.23,9168.8,0,4573,15375,16239.1
2007/11/10,2611.6,237.652,344318.99,11098,3697,304,13767,25758.66668
2007/11/11,1887.124,185.61,345974.78,7978.4,3445,320,6024,21663.06666
2007/11/12,2156.146,137.468,345348.85,9031.6,1018,4165,13281,17471.76668
2007/11/13,2214.398,140.952,347217.09,9293,978,4933,11076,19919.63331
2007/11/14,2047.994,141.59,345522.28,8554.6,1055,295,16345,16438.23336
2007/11/15,1491.988,133.066,345578.39,6330.8,1606,571,7503,15186.46668
2007/11/16,2309.754,123.978,347016.26,9674,1991,4660,13564,18280.90001
2007/11/17,2610.094,168.03,346468.93,10942.4,2588,2199,14990,23724.56663
2007/11/18,2183.858,161.762,348855.06,9140.6,5201,2097,7066,22033.63337
2007/11/19,1723.654,112.03,349583.55,7209,1089,253,10750,16635.56667
2007/11/20,2095.856,124.832,347527.91,8770.2,1015,3954,11026,18935.9333
2007/11/21,1754.716,131.718,347753.62,7372.4,1139,550,9455,18101.2666
2007/11/22,1932.378,143.108,347853.67,8145,2867,297,9001,20041.30004
2007/11/23,2522.618,138.912,346640.21,10570.6,2168,6181,13685,20009.63339
2007/11/24,1899.054,150.512,348195.95,7938.2,1573,4131,13451,12495.89996
2007/11/25,1395.598,122.776,349432.07,5884.8,3556,279,5678,13746.96671
2007/11/26,1569.716,117.05,347207.75,6626,1088,288,8926,15859.93333
2007/11/27,2801.012,139.994,347502.38,11745,1063,11020,15111,19489.53332
2007/11/28,1644.94,115.442,349768.52,6876.8,1182,769,7810,17654.66662
2007/11/29,1719.514,118.71,349535,7222.8,2031,283,8818,17526.56666
2007/11/30,2331.728,147.28,350622.36,9730.4,0,7941,13601,17320.13337
2007/12/1,3134.942,288.892,345983.16,13235.8,9356,353,17847,24693.03325
