,Entry,Mass,Feature,Feature.1,feature,Feature.2
43,Q16763,"23,845",Q16763,Q16763,Q16763,Q16763
44,Q9NPD8,"22,521",Q9NPD8,Q9NPD8,Q9NPD8,Q9NPD8
45,Q9H832,"38,210",Q9H832,Q9H832,Q9H832,Q9H832
46,Q05086,"100,688",Q05086,Q05086,Q05086,Q05086
47,Q7Z3V4,"123,098",Q7Z3V4,Q7Z3V4,Q7Z3V4,Q7Z3V4
48,Q15386,"123,923",Q15386,Q15386,Q15386,Q15386
49,Q7Z6J8,"43,657",Q7Z6J8,Q7Z6J8,Q7Z6J8,Q7Z6J8
50,Q14139,"122,561",Q14139,Q14139,Q14139,Q14139
51,O95155,"146,185",O95155,O95155,O95155,O95155
52,P17480,"89,406",P17480,P17480,P17480,P17480
53,O14562,"33,382",O14562,O14562,O14562,O14562
54,P0CB47,"46,134",P0CB47,P0CB47,P0CB47,P0CB47
55,P0CB48,"46,551",P0CB48,P0CB48,P0CB48,P0CB48
56,Q9Y5Z9,"36,831",Q9Y5Z9,Q9Y5Z9,Q9Y5Z9,Q9Y5Z9
57,Q8WU08,"46,369",Q8WU08,Q8WU08,Q8WU08,Q8WU08
58,Q13277,"33,155",Q13277,Q13277,Q13277,Q13277
59,Q12846,"34,180",Q12846,Q12846,Q12846,Q12846
60,Q8N4C7,"34,324",Q8N4C7,Q8N4C7,Q8N4C7,Q8N4C7
61,P02766,"15,887",P02766,P02766,P02766,P02766
62,Q6NXR4,"56,915",Q6NXR4,Q6NXR4,Q6NXR4,Q6NXR4
63,P33981,"97,072",P33981,P33981,P33981,P33981
64,Q6ZVT0,"75,042",Q6ZVT0,Q6ZVT0,Q6ZVT0,Q6ZVT0
65,O95922,"48,988",O95922,O95922,O95922,O95922
66,Q14679,"133,378",Q14679,Q14679,Q14679,Q14679
67,Q6EMB2,"143,577",Q6EMB2,Q6EMB2,Q6EMB2,Q6EMB2
68,Q3SXZ7,"51,472",Q3SXZ7,Q3SXZ7,Q3SXZ7,Q3SXZ7
69,Q5BVD1,"24,295",Q5BVD1,Q5BVD1,Q5BVD1,Q5BVD1
70,Q9BTX7,"38,515",Q9BTX7,Q9BTX7,Q9BTX7,Q9BTX7
71,P49638,"31,750",P49638,P49638,P49638,P49638
72,A0A075B6N1,"12,769",A0A075B6N1,A0A075B6N1,A0A075B6N1,A0A075B6N1
73,A0A0K0K1C4,"12,838",A0A0K0K1C4,A0A0K0K1C4,A0A0K0K1C4,A0A0K0K1C4
74,A0A576,"12,928",A0A576,A0A576,A0A576,A0A576
75,A0A0C4DH59,"12,518",A0A0C4DH59,A0A0C4DH59,A0A0C4DH59,A0A0C4DH59
76,P41252,"144,498",P41252,P41252,P41252,P41252
77,P0DPF7,"12,525",P0DPF7,P0DPF7,P0DPF7,P0DPF7
78,A0A1B0GX49,"12,298",A0A1B0GX49,A0A1B0GX49,A0A1B0GX49,A0A1B0GX49
79,A0A0K0K1E9,"12,787",A0A0K0K1E9,A0A0K0K1E9,A0A0K0K1E9,A0A0K0K1E9
80,P04435,"13,107",P04435,P04435,P04435,P04435
81,Q06418,"96,905",Q06418,Q06418,Q06418,Q06418
82,P14679,"60,393",P14679,P14679,P14679,P14679
83,O14994,"63,303",O14994,O14994,O14994,O14994
84,Q6ZMZ3,"112,216",Q6ZMZ3,Q6ZMZ3,Q6ZMZ3,Q6ZMZ3
85,Q92777,"62,996",Q92777,Q92777,Q92777,Q92777
86,Q9UMS6,"117,514",Q9UMS6,Q9UMS6,Q9UMS6,Q9UMS6
87,Q9UMZ2,"140,654",Q9UMZ2,Q9UMZ2,Q9UMZ2,Q9UMZ2
88,P08247,"33,845",P08247,P08247,P08247,P08247
89,Q5VXT5,"30,156",Q5VXT5,Q5VXT5,Q5VXT5,Q5VXT5
90,Q7L3T8,"53,263",Q7L3T8,Q7L3T8,Q7L3T8,Q7L3T8
91,Q6NUM6,"76,946",Q6NUM6,Q6NUM6,Q6NUM6,Q6NUM6
92,Q53H54,"50,236",Q53H54,Q53H54,Q53H54,Q53H54
93,Q6IPR3,"29,794",Q6IPR3,Q6IPR3,Q6IPR3,Q6IPR3
94,O60294,"75,602",O60294,O60294,O60294,O60294
95,A2RUC4,"36,548",A2RUC4,A2RUC4,A2RUC4,A2RUC4
96,O15391,"41,347",O15391,O15391,O15391,O15391
97,P10074,"77,054",P10074,P10074,P10074,P10074
98,Q7RTZ2,"59,590",Q7RTZ2,Q7RTZ2,Q7RTZ2,Q7RTZ2
99,A6NCW0,"59,536",A6NCW0,A6NCW0,A6NCW0,A6NCW0
100,A6NCW7,"59,636",A6NCW7,A6NCW7,A6NCW7,A6NCW7
101,A8MUK1,"59,683",A8MUK1,A8MUK1,A8MUK1,A8MUK1
102,C9JJH3,"59,886",C9JJH3,C9JJH3,C9JJH3,C9JJH3
103,C9JVI0,"59,630",C9JVI0,C9JVI0,C9JVI0,C9JVI0
104,C9J2P7,"59,676",C9J2P7,C9J2P7,C9J2P7,C9J2P7
105,D6RBM5,"20,302",D6RBM5,D6RBM5,D6RBM5,D6RBM5
106,Q0WX57,"59,711",Q0WX57,Q0WX57,Q0WX57,Q0WX57
107,Q01081,"27,872",Q01081,Q01081,Q01081,Q01081
108,P0DN76,"27,872",P0DN76,P0DN76,P0DN76,P0DN76
109,Q15696,"58,045",Q15696,Q15696,Q15696,Q15696
110,Q86TS7,"6,040",Q86TS7,Q86TS7,Q86TS7,Q86TS7
111,Q3KQV9,"57,030",Q3KQV9,Q3KQV9,Q3KQV9,Q3KQV9
112,P51668,"16,602",P51668,P51668,P51668,P51668
113,Q9Y2X8,"16,649",Q9Y2X8,Q9Y2X8,Q9Y2X8,Q9Y2X8
114,Q96LR5,"22,255",Q96LR5,Q96LR5,Q96LR5,Q96LR5
115,Q969T4,"22,913",Q969T4,Q969T4,Q969T4,Q969T4
116,Q13404,"16,495",Q13404,Q13404,Q13404,Q13404
117,Q15819,"16,363",Q15819,Q15819,Q15819,Q15819
118,P22314,"117,849",P22314,P22314,P22314,P22314
119,Q8TBC4,"51,852",Q8TBC4,Q8TBC4,Q8TBC4,Q8TBC4
120,Q9GZZ9,"44,863",Q9GZZ9,Q9GZZ9,Q9GZZ9,Q9GZZ9
121,O00204,"41,308",O00204,O00204,O00204,O00204
122,Q9Y5Y6,"94,770",Q9Y5Y6,Q9Y5Y6,Q9Y5Y6,Q9Y5Y6
123,O94768,"42,344",O94768,O94768,O94768,O94768
124,Q8TBR4,"17,020",Q8TBR4,Q8TBR4,Q8TBR4,Q8TBR4
125,Q9BR01,"33,085",Q9BR01,Q9BR01,Q9BR01,Q9BR01
126,Q6IMI4,"34,919",Q6IMI4,Q6IMI4,Q6IMI4,Q6IMI4
127,Q8TDW4,"64,779",Q8TDW4,Q8TDW4,Q8TDW4,Q8TDW4
128,Q9UHE8,"39,851",Q9UHE8,Q9UHE8,Q9UHE8,Q9UHE8
129,O43704,"34,899",O43704,O43704,O43704,O43704
130,Q9NZ72,"21,017",Q9NZ72,Q9NZ72,Q9NZ72,Q9NZ72
131,P49888,"35,126",P49888,P49888,P49888,P49888
132,Q69YW2,"15,007",Q69YW2,Q69YW2,Q69YW2,Q69YW2
133,Q5VT97,"133,230",Q5VT97,Q5VT97,Q5VT97,Q5VT97
134,Q9Y285,"57,564",Q9Y285,Q9Y285,Q9Y285,Q9Y285
135,P59090,"7,097",P59090,P59090,P59090,P59090
136,Q92574,"129,767",Q92574,Q92574,Q92574,Q92574
137,P49815,"200,608",P49815,P49815,P49815,P49815
138,Q8WU66,"74,924",Q8WU66,Q8WU66,Q8WU66,Q8WU66
139,Q8WUA8,"37,807",Q8WUA8,Q8WUA8,Q8WUA8,Q8WUA8
140,Q969D9,"18,141",Q969D9,Q969D9,Q969D9,Q969D9
141,Q9H1Z9,"36,498",Q9H1Z9,Q9H1Z9,Q9H1Z9,Q9H1Z9
142,O95858,"33,165",O95858,O95858,O95858,O95858
143,P0C672,"28,460",P0C672,P0C672,P0C672,P0C672
144,O60637,"28,018",O60637,O60637,O60637,O60637
145,O14817,"26,118",O14817,O14817,O14817,O14817
146,P62079,"30,337",P62079,P62079,P62079,P62079
147,O43657,"27,563",O43657,O43657,O43657,O43657
148,P19075,"26,044",P19075,P19075,P19075,P19075
149,Q96NA8,"55,949",Q96NA8,Q96NA8,Q96NA8,Q96NA8
150,Q99598,"33,112",Q99598,Q99598,Q99598,Q99598
151,Q9NSD9,"66,116",Q9NSD9,Q9NSD9,Q9NSD9,Q9NSD9
152,P35442,"129,991",P35442,P35442,P35442,P35442
153,Q9UI38,"43,088",Q9UI38,Q9UI38,Q9UI38,Q9UI38
154,Q5TGU0,"19,129",Q5TGU0,Q5TGU0,Q5TGU0,Q5TGU0
155,B1AH88,"10,537",B1AH88,B1AH88,B1AH88,B1AH88
156,P30536,"18,828",P30536,P30536,P30536,P30536
157,Q01534,"35,012",Q01534,Q01534,Q01534,Q01534
158,A6NKD2,"35,100",A6NKD2,A6NKD2,A6NKD2,A6NKD2
159,P0CV98,"35,101",P0CV98,P0CV98,P0CV98,P0CV98
160,P0CV99,"35,727",P0CV99,P0CV99,P0CV99,P0CV99
161,P0CW00,"35,147",P0CW00,P0CW00,P0CW00,P0CW00
162,P0CW01,"35,101",P0CW01,P0CW01,P0CW01,P0CW01
163,Q2NL82,"91,810",Q2NL82,Q2NL82,Q2NL82,Q2NL82
164,Q9UJK0,"33,596",Q9UJK0,Q9UJK0,Q9UJK0,Q9UJK0
165,Q9Y5U2,"34,326",Q9Y5U2,Q9Y5U2,Q9Y5U2,Q9Y5U2
166,Q96PN8,"30,102",Q96PN8,Q96PN8,Q96PN8,Q96PN8
167,Q6SA08,"37,454",Q6SA08,Q6SA08,Q6SA08,Q6SA08
168,Q8N831,"45,874",Q8N831,Q8N831,Q8N831,Q8N831
169,Q8NDW8,"150,944",Q8NDW8,Q8NDW8,Q8NDW8,Q8NDW8
170,Q6PF05,"40,837",Q6PF05,Q6PF05,Q6PF05,Q6PF05
171,Q8N4P2,"76,099",Q8N4P2,Q8N4P2,Q8N4P2,Q8N4P2
172,Q5VTQ0,"76,956",Q5VTQ0,Q5VTQ0,Q5VTQ0,Q5VTQ0
173,Q6DKK2,"42,457",Q6DKK2,Q6DKK2,Q6DKK2,Q6DKK2
174,Q6P3X3,"96,632",Q6P3X3,Q6P3X3,Q6P3X3,Q6P3X3
175,Q6PID6,"29,411",Q6PID6,Q6PID6,Q6PID6,Q6PID6
176,A8MYJ7,"60,903",A8MYJ7,A8MYJ7,A8MYJ7,A8MYJ7
177,Q6PGP7,"175,486",Q6PGP7,Q6PGP7,Q6PGP7,Q6PGP7
178,Q5R3I4,"52,787",Q5R3I4,Q5R3I4,Q5R3I4,Q5R3I4
179,P53804,"229,869",P53804,P53804,P53804,P53804
180,Q9ULT0,"96,185",Q9ULT0,Q9ULT0,Q9ULT0,Q9ULT0
181,Q15361,"103,051",Q15361,Q15361,Q15361,Q15361
182,Q9Y4R7,"87,414",Q9Y4R7,Q9Y4R7,Q9Y4R7,Q9Y4R7
183,Q96PV0,"148,284",Q96PV0,Q96PV0,Q96PV0,Q96PV0
184,P26651,"34,003",P26651,P26651,P26651,P26651
185,Q9BZA0,"7,782",Q9BZA0,Q9BZA0,Q9BZA0,Q9BZA0
186,Q9BZ98,"10,490",Q9BZ98,Q9BZ98,Q9BZ98,Q9BZ98
187,Q9BZ97,"6,256",Q9BZ97,Q9BZ97,Q9BZ97,Q9BZ97
188,Q9H313,"49,051",Q9H313,Q9H313,Q9H313,Q9H313
189,Q9BSA4,"58,772",Q9BSA4,Q9BSA4,Q9BSA4,Q9BSA4
190,P50607,"55,651",P50607,P50607,P50607,P50607
191,A0A0B4J276,"12,388",A0A0B4J276,A0A0B4J276,A0A0B4J276,A0A0B4J276
192,A0A0B4J265,"12,172",A0A0B4J265,A0A0B4J265,A0A0B4J265,A0A0B4J265
193,P31391,"42,003",P31391,P31391,P31391,P31391
194,P43308,"20,135",P43308,P43308,P43308,P43308
195,P51571,"18,999",P51571,P51571,P51571,P51571
196,Q86UX6,"54,994",Q86UX6,Q86UX6,Q86UX6,Q86UX6
197,Q9UEE5,"46,558",Q9UEE5,Q9UEE5,Q9UEE5,Q9UEE5
198,Q9Y2H1,"54,003",Q9Y2H1,Q9Y2H1,Q9Y2H1,Q9Y2H1
199,Q8TAV4,"32,135",Q8TAV4,Q8TAV4,Q8TAV4,Q8TAV4
200,Q9P2F5,"102,671",Q9P2F5,Q9P2F5,Q9P2F5,Q9P2F5
201,P09430,"6,424",P09430,P09430,P09430,P09430
202,Q16623,"33,023",Q16623,Q16623,Q16623,Q16623
203,Q6J9G0,"47,577",Q6J9G0,Q6J9G0,Q6J9G0,Q6J9G0
204,Q15833,"66,453",Q15833,Q15833,Q15833,Q15833
205,Q9BZJ3,"26,584",Q9BZJ3,Q9BZJ3,Q9BZJ3,Q9BZJ3
206,Q9NRR2,"33,815",Q9NRR2,Q9NRR2,Q9NRR2,Q9NRR2
207,Q7RTX1,"93,074",Q7RTX1,Q7RTX1,Q7RTX1,Q7RTX1
208,Q7RTX0,"93,386",Q7RTX0,Q7RTX0,Q7RTX0,Q7RTX0
209,Q96A04,"13,670",Q96A04,Q96A04,Q96A04,Q96A04
210,Q5JPH6,"58,689",Q5JPH6,Q5JPH6,Q5JPH6,Q5JPH6
211,Q9BY10,"51,067",Q9BY10,Q9BY10,Q9BY10,Q9BY10
212,Q9BZW7,"81,421",Q9BZW7,Q9BZW7,Q9BZW7,Q9BZW7
213,Q96PP4,"31,778",Q96PP4,Q96PP4,Q96PP4,Q96PP4
214,P98066,"31,203",P98066,P98066,P98066,P98066
215,O95859,"35,383",O95859,O95859,O95859,O95859
216,O95857,"22,147",O95857,O95857,O95857,O95857
217,Q96FV3,"30,264",Q96FV3,Q96FV3,Q96FV3,Q96FV3
218,O60635,"26,301",O60635,O60635,O60635,O60635
219,P41732,"27,574",P41732,P41732,P41732,P41732
220,O75954,"26,779",O75954,O75954,O75954,O75954
221,Q15631,"26,183",Q15631,Q15631,Q15631,Q15631
222,P07996,"129,383",P07996,P07996,P07996,P07996
223,Q969E8,"20,894",Q969E8,Q969E8,Q969E8,Q969E8
224,Q86WT1,"76,136",Q86WT1,Q86WT1,Q86WT1,Q86WT1
225,Q8N584,"65,870",Q8N584,Q8N584,Q8N584,Q8N584
226,Q5TCY1,"142,737",Q5TCY1,Q5TCY1,Q5TCY1,Q5TCY1
227,Q96AE7,"129,558",Q96AE7,Q96AE7,Q96AE7,Q96AE7
228,Q96AY4,"270,884",Q96AY4,Q96AY4,Q96AY4,Q96AY4
229,Q8NA56,"55,082",Q8NA56,Q8NA56,Q8NA56,Q8NA56
230,Q49AM3,"57,105",Q49AM3,Q49AM3,Q49AM3,Q49AM3
231,Q5I0X7,"17,296",Q5I0X7,Q5I0X7,Q5I0X7,Q5I0X7
232,A6NLP5,"20,896",A6NLP5,A6NLP5,A6NLP5,A6NLP5
233,Q9UNY4,"129,588",Q9UNY4,Q9UNY4,Q9UNY4,Q9UNY4
234,O43156,"122,069",O43156,O43156,O43156,O43156
235,A0A0B4J280,"11,556",A0A0B4J280,A0A0B4J280,A0A0B4J280,A0A0B4J280
236,A0A0B4J268,"12,215",A0A0B4J268,A0A0B4J268,A0A0B4J268,A0A0B4J268
237,A0A0B4J249,"12,968",A0A0B4J249,A0A0B4J249,A0A0B4J249,A0A0B4J249
238,A0A087WT03,"12,306",A0A087WT03,A0A087WT03,A0A087WT03,A0A087WT03
239,A0A087X0M5,"13,028",A0A087X0M5,A0A087X0M5,A0A087X0M5,A0A087X0M5
240,A0A5B6,"13,166",A0A5B6,A0A5B6,A0A5B6,A0A5B6
241,A0A0K0K1B3,"12,225",A0A0K0K1B3,A0A0K0K1B3,A0A0K0K1B3,A0A0K0K1B3
242,A0A5A2,"12,721",A0A5A2,A0A5A2,A0A5A2,A0A5A2
243,A0A0A6YYG2,"12,632",A0A0A6YYG2,A0A0A6YYG2,A0A0A6YYG2,A0A0A6YYG2
244,A0A0K0K1G8,"13,045",A0A0K0K1G8,A0A0K0K1G8,A0A0K0K1G8,A0A0K0K1G8
245,A0A0K0K1G6,"13,035",A0A0K0K1G6,A0A0K0K1G6,A0A0K0K1G6,A0A0K0K1G6
246,Q6ZWJ1,"61,662",Q6ZWJ1,Q6ZWJ1,Q6ZWJ1,Q6ZWJ1
247,A0A087WT01,"12,043",A0A087WT01,A0A087WT01,A0A087WT01,A0A087WT01
248,A0A087WSZ9,"12,582",A0A087WSZ9,A0A087WSZ9,A0A087WSZ9,A0A087WSZ9
249,A0A0A6YYK1,"12,788",A0A0A6YYK1,A0A0A6YYK1,A0A0A6YYK1,A0A0A6YYK1
250,A0A0A6YYJ7,"12,676",A0A0A6YYJ7,A0A0A6YYJ7,A0A0A6YYJ7,A0A0A6YYJ7
251,A0A087WT02,"12,289",A0A087WT02,A0A087WT02,A0A087WT02,A0A087WT02
252,A0A0B4J245,"12,865",A0A0B4J245,A0A0B4J245,A0A0B4J245,A0A0B4J245
253,A0A5B0,"12,880",A0A5B0,A0A5B0,A0A5B0,A0A5B0
254,A0A5B7,"12,190",A0A5B7,A0A5B7,A0A5B7,A0A5B7
255,A0A1B0GX68,"13,403",A0A1B0GX68,A0A1B0GX68,A0A1B0GX68,A0A1B0GX68
256,A0A589,"12,856",A0A589,A0A589,A0A589,A0A589
257,A0A0A6YYG3,"12,321",A0A0A6YYG3,A0A0A6YYG3,A0A0A6YYG3,A0A0A6YYG3
258,Q6UWH6,"22,538",Q6UWH6,Q6UWH6,Q6UWH6,Q6UWH6
259,Q9Y6I9,"34,189",Q9Y6I9,Q9Y6I9,Q9Y6I9,Q9Y6I9
260,Q9P2K2,"93,572",Q9P2K2,Q9P2K2,Q9P2K2,Q9P2K2
261,Q2TAA8,"76,773",Q2TAA8,Q2TAA8,Q2TAA8,Q2TAA8
262,Q86XW9,"36,856",Q86XW9,Q86XW9,Q86XW9,Q86XW9
263,Q9H3M7,"43,661",Q9H3M7,Q9H3M7,Q9H3M7,Q9H3M7
264,P56192,"101,116",P56192,P56192,P56192,P56192
265,Q92797,"141,148",Q92797,Q92797,Q92797,Q92797
266,Q8TAI1,"13,402",Q8TAI1,Q8TAI1,Q8TAI1,Q8TAI1
267,P40126,"59,145",P40126,P40126,P40126,P40126
268,Q9H7C4,"55,299",Q9H7C4,Q9H7C4,Q9H7C4,Q9H7C4
269,O43776,"62,943",O43776,O43776,O43776,O43776
270,Q8N205,"43,512",Q8N205,Q8N205,Q8N205,Q8N205
271,Q9H7V2,"28,551",Q9H7V2,Q9H7V2,Q9H7V2,Q9H7V2
272,A6NDD5,"25,796",A6NDD5,A6NDD5,A6NDD5,A6NDD5
273,Q96I59,"54,090",Q96I59,Q96I59,Q96I59,Q96I59
274,Q8N3V7,"99,463",Q8N3V7,Q8N3V7,Q8N3V7,Q8N3V7
275,Q8TBG9,"29,166",Q8TBG9,Q8TBG9,Q8TBG9,Q8TBG9
276,Q9H987,"102,481",Q9H987,Q9H987,Q9H987,Q9H987
277,Q9HBF5,"9,024",Q9HBF5,Q9HBF5,Q9HBF5,Q9HBF5
278,O94864,"46,193",O94864,O94864,O94864,O94864
279,P48995,"91,212",P48995,P48995,P48995,P48995
280,P50226,"34,310",P50226,P50226,P50226,P50226
281,P53597,"36,250",P53597,P53597,P53597,P53597
282,O75558,"33,196",O75558,O75558,O75558,O75558
283,Q9Y6J8,"35,818",Q9Y6J8,Q9Y6J8,Q9Y6J8,Q9Y6J8
284,Q9P2W9,"38,674",Q9P2W9,Q9P2W9,Q9P2W9,Q9P2W9
285,Q96I99,"46,511",Q96I99,Q96I99,Q96I99,Q96I99
286,Q9HAC7,"48,462",Q9HAC7,Q9HAC7,Q9HAC7,Q9HAC7
287,Q8IWU6,"101,027",Q8IWU6,Q8IWU6,Q8IWU6,Q8IWU6
288,Q8IWU5,"100,455",Q8IWU5,Q8IWU5,Q8IWU5,Q8IWU5
289,P55854,"11,637",P55854,P55854,P55854,P55854
290,Q8IX01,"120,207",Q8IX01,Q8IX01,Q8IX01,Q8IX01
291,M5A8F1,"18,128",M5A8F1,M5A8F1,M5A8F1,M5A8F1
292,A0A0B4J234,"12,502",A0A0B4J234,A0A0B4J234,A0A0B4J234,A0A0B4J234
293,A0A075B6U4,"12,598",A0A075B6U4,A0A075B6U4,A0A075B6U4,A0A075B6U4
294,A0A0B4J262,"12,690",A0A0B4J262,A0A0B4J262,A0A0B4J262,A0A0B4J262
295,A0A0B4J271,"13,173",A0A0B4J271,A0A0B4J271,A0A0B4J271,A0A0B4J271
296,P01733,"12,997",P01733,P01733,P01733,P01733
297,Q9NSE4,"113,792",Q9NSE4,Q9NSE4,Q9NSE4,Q9NSE4
298,P25490,"44,713",P25490,P25490,P25490,P25490
299,A6NIH7,"28,137",A6NIH7,A6NIH7,A6NIH7,A6NIH7
300,Q6R6M4,"59,619",Q6R6M4,Q6R6M4,Q6R6M4,Q6R6M4
301,P0C7H9,"59,751",P0C7H9,P0C7H9,P0C7H9,P0C7H9
302,P0C7I0,"59,635",P0C7I0,P0C7I0,P0C7I0,P0C7I0
303,D6RJB6,"59,626",D6RJB6,D6RJB6,D6RJB6,D6RJB6
304,D6RA61,"59,671",D6RA61,D6RA61,D6RA61,D6RA61
305,Q8WU68,"25,744",Q8WU68,Q8WU68,Q8WU68,Q8WU68
306,Q15695,"57,643",Q15695,Q15695,Q15695,Q15695
307,Q5T160,"65,505",Q5T160,Q5T160,Q5T160,Q5T160
308,O43818,"51,841",O43818,O43818,O43818,O43818
309,O75643,"244,508",O75643,O75643,O75643,O75643
310,Q15029,"109,436",Q15029,Q15029,Q15029,Q15029
311,A6NN06,"10,596",A6NN06,A6NN06,A6NN06,A6NN06
312,Q5VV11,"10,769",Q5VV11,Q5VV11,Q5VV11,Q5VV11
313,Q5XG85,"10,725",Q5XG85,Q5XG85,Q5XG85,Q5XG85
314,Q16222,"58,769",Q16222,Q16222,Q16222,Q16222
315,P60604,"18,566",P60604,P60604,P60604,P60604
316,Q9Y385,"35,199",Q9Y385,Q9Y385,Q9Y385,Q9Y385
317,Q8N2K1,"28,898",Q8N2K1,Q8N2K1,Q8N2K1,Q8N2K1
318,A0A1B0GUS4,"17,875",A0A1B0GUS4,A0A1B0GUS4,A0A1B0GUS4,A0A1B0GUS4
319,O14933,"17,769",O14933,O14933,O14933,O14933
320,Q7Z7E8,"46,127",Q7Z7E8,Q7Z7E8,Q7Z7E8,Q7Z7E8
321,Q8WVN8,"42,818",Q8WVN8,Q8WVN8,Q8WVN8,Q8WVN8
322,P49427,"26,737",P49427,P49427,P49427,P49427
323,P41226,"111,694",P41226,P41226,P41226,P41226
324,Q8NBM4,"38,964",Q8NBM4,Q8NBM4,Q8NBM4,Q8NBM4
325,Q8TB05,"18,954",Q8TB05,Q8TB05,Q8TB05,Q8TB05
326,Q8IYN6,"17,877",Q8IYN6,Q8IYN6,Q8IYN6,Q8IYN6
327,P0CG47,"25,762",P0CG47,P0CG47,P0CG47,P0CG47
328,P61081,"20,900",P61081,P61081,P61081,P61081
329,Q8N2H4,"17,615",Q8N2H4,Q8N2H4,Q8N2H4,Q8N2H4
330,Q8WVY7,"36,805",Q8WVY7,Q8WVY7,Q8WVY7,Q8WVY7
331,P0CG48,"77,039",P0CG48,P0CG48,P0CG48,P0CG48
332,O15205,"18,473",O15205,O15205,O15205,O15205
333,O00762,"19,652",O00762,O00762,O00762,O00762
334,Q969M7,"21,077",Q969M7,Q969M7,Q969M7,Q969M7
335,P62256,"20,655",P62256,P62256,P62256,P62256
336,Q9C0C9,"141,293",Q9C0C9,Q9C0C9,Q9C0C9,Q9C0C9
337,Q5VVX9,"37,741",Q5VVX9,Q5VVX9,Q5VVX9,Q5VVX9
338,Q96B02,"17,331",Q96B02,Q96B02,Q96B02,Q96B02
339,O00445,"42,900",O00445,O00445,O00445,O00445
340,Q7L8C5,"46,885",Q7L8C5,Q7L8C5,Q7L8C5,Q7L8C5
341,Q86Y82,"31,642",Q86Y82,Q86Y82,Q86Y82,Q86Y82
342,Q8NFX7,"23,554",Q8NFX7,Q8NFX7,Q8NFX7,Q8NFX7
343,P61956,"10,871",P61956,P61956,P61956,P61956
344,Q6EEV6,"10,685",Q6EEV6,Q6EEV6,Q6EEV6,Q6EEV6
345,Q8IWZ8,"72,471",Q8IWZ8,Q8IWZ8,Q8IWZ8,Q8IWZ8
346,Q8NBK3,"40,556",Q8NBK3,Q8NBK3,Q8NBK3,Q8NBK3
347,Q8NBJ7,"33,843",Q8NBJ7,Q8NBJ7,Q8NBJ7,Q8NBJ7
